derivative,command_send,command_response,answer
Thư viện tặng Lan một cuốn sách rất hay.,"s(Tree,[thu-vien, tang, lan, mot, cuon-sach, rat, hay],[]).","s(Tree,[thu-vien, tang, lan, mot, cuon-sach, rat, hay],[]).","Tree =sent(nounp(noun(thu-vien)),verbp(verb(tang),nounp(propenn(lan)),nounp(q(mot),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
Trường tặng Lan một cuốn sách rất hay.,"s(Tree,[truong, tang, lan, mot, cuon-sach, rat, hay],[]).","s(Tree,[truong, tang, lan, mot, cuon-sach, rat, hay],[]).","Tree =sent(nounp(noun(truong)),verbp(verb(tang),nounp(propenn(lan)),nounp(q(mot),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
Thư viện tặng Lan mấy cuốn sách rất hay.,"s(Tree,[thu-vien, tang, lan, may, cuon-sach, rat, hay],[]).","s(Tree,[thu-vien, tang, lan, may, cuon-sach, rat, hay],[]).","Tree =sent(nounp(noun(thu-vien)),verbp(verb(tang),nounp(propenn(lan)),nounp(q(may),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
Trường tặng Lan mấy cuốn sách rất hay.,"s(Tree,[truong, tang, lan, may, cuon-sach, rat, hay],[]).","s(Tree,[truong, tang, lan, may, cuon-sach, rat, hay],[]).","Tree =sent(nounp(noun(truong)),verbp(verb(tang),nounp(propenn(lan)),nounp(q(may),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
Trường tặng Nam một cuốn sách mới.,"s(Tree,[truong, tang, nam, mot, cuon-sach, moi],[]).","s(Tree,[truong, tang, nam, mot, cuon-sach, moi],[]).","Tree =sent(nounp(noun(truong)),verbp(verb(tang),nounp(propenn(nam)),nounp(q(mot),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Thư viện tặng Nam một cuốn sách mới.,"s(Tree,[thu-vien, tang, nam, mot, cuon-sach, moi],[]).","s(Tree,[thu-vien, tang, nam, mot, cuon-sach, moi],[]).","Tree =sent(nounp(noun(thu-vien)),verbp(verb(tang),nounp(propenn(nam)),nounp(q(mot),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Trường tặng Nam mấy cuốn sách mới.,"s(Tree,[truong, tang, nam, may, cuon-sach, moi],[]).","s(Tree,[truong, tang, nam, may, cuon-sach, moi],[]).","Tree =sent(nounp(noun(truong)),verbp(verb(tang),nounp(propenn(nam)),nounp(q(may),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Thư viện tặng Nam mấy cuốn sách mới.,"s(Tree,[thu-vien, tang, nam, may, cuon-sach, moi],[]).","s(Tree,[thu-vien, tang, nam, may, cuon-sach, moi],[]).","Tree =sent(nounp(noun(thu-vien)),verbp(verb(tang),nounp(propenn(nam)),nounp(q(may),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Trường tặng Lan một cuốn sách mới.,"s(Tree,[truong, tang, lan, mot, cuon-sach, moi],[]).","s(Tree,[truong, tang, lan, mot, cuon-sach, moi],[]).","Tree =sent(nounp(noun(truong)),verbp(verb(tang),nounp(propenn(lan)),nounp(q(mot),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Thư viện tặng Lan một cuốn sách mới.,"s(Tree,[thu-vien, tang, lan, mot, cuon-sach, moi],[]).","s(Tree,[thu-vien, tang, lan, mot, cuon-sach, moi],[]).","Tree =sent(nounp(noun(thu-vien)),verbp(verb(tang),nounp(propenn(lan)),nounp(q(mot),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Trường tặng Lan mấy cuốn sách mới.,"s(Tree,[truong, tang, lan, may, cuon-sach, moi],[]).","s(Tree,[truong, tang, lan, may, cuon-sach, moi],[]).","Tree =sent(nounp(noun(truong)),verbp(verb(tang),nounp(propenn(lan)),nounp(q(may),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Thư viện tặng Lan mấy cuốn sách mới.,"s(Tree,[thu-vien, tang, lan, may, cuon-sach, moi],[]).","s(Tree,[thu-vien, tang, lan, may, cuon-sach, moi],[]).","Tree =sent(nounp(noun(thu-vien)),verbp(verb(tang),nounp(propenn(lan)),nounp(q(may),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Nam tặng trường một cuốn sách mới.,"s(Tree,[nam, tang, truong, mot, cuon-sach, moi],[]).","s(Tree,[nam, tang, truong, mot, cuon-sach, moi],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(tang),nounp(noun(truong)),nounp(q(mot),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Lan tặng thư viện một cuốn sách mới.,"s(Tree,[lan, tang, thu-vien, mot, cuon-sach, moi],[]).","s(Tree,[lan, tang, thu-vien, mot, cuon-sach, moi],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(tang),nounp(noun(thu-vien)),nounp(q(mot),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Nam tặng trường mấy cuốn sách mới.,"s(Tree,[nam, tang, truong, may, cuon-sach, moi],[]).","s(Tree,[nam, tang, truong, may, cuon-sach, moi],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(tang),nounp(noun(truong)),nounp(q(may),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Lan tặng thư viện mấy cuốn sách mới.,"s(Tree,[lan, tang, thu-vien, may, cuon-sach, moi],[]).","s(Tree,[lan, tang, thu-vien, may, cuon-sach, moi],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(tang),nounp(noun(thu-vien)),nounp(q(may),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Nam tặng trường một cuốn sách rất hay.,"s(Tree,[nam, tang, truong, mot, cuon-sach, rat, hay],[]).","s(Tree,[nam, tang, truong, mot, cuon-sach, rat, hay],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(tang),nounp(noun(truong)),nounp(q(mot),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
Lan tặng thư viện một cuốn sách rất hay.,"s(Tree,[lan, tang, thu-vien, mot, cuon-sach, rat, hay],[]).","s(Tree,[lan, tang, thu-vien, mot, cuon-sach, rat, hay],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(tang),nounp(noun(thu-vien)),nounp(q(mot),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
Nam tặng trường mấy cuốn sách rất hay.,"s(Tree,[nam, tang, truong, may, cuon-sach, rat, hay],[]).","s(Tree,[nam, tang, truong, may, cuon-sach, rat, hay],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(tang),nounp(noun(truong)),nounp(q(may),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
Lan tặng thư viện mấy cuốn sách rất hay.,"s(Tree,[lan, tang, thu-vien, may, cuon-sach, rat, hay],[]).","s(Tree,[lan, tang, thu-vien, may, cuon-sach, rat, hay],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(tang),nounp(noun(thu-vien)),nounp(q(may),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
